#Device;NGC103
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.005-02.430-03.730
#Serial No.;000100954
#Mode;Unlimited
#Logging Interval[s];0.001
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Sequence;Off
#CH1 Voltage Target[V];4.200
#CH1 Current Target[A];0.200
#CH1 Sequence Delay[s];-----
#CH1 EasyArb;Off
#CH1 OVP;Off
#CH1 OPP;Off
#CH1 Ramp;Off
#CH1 Analog in;Off
#Start Time;00:43:54
#Stop Time;00:44:23
#Actual Count; 29911      
U1[V];I1[A];Timestamp
4.269;0.0060;00:43:54:171
4.148;0.0710;00:43:54:172
4.196;0.0020;00:43:54:173
4.196;0.0740;00:43:54:174
4.196;0.0970;00:43:54:175
4.196;0.0020;00:43:54:176
4.196;0.0030;00:43:54:177
4.204;0.0740;00:43:54:178
4.196;0.0750;00:43:54:179
4.188;0.0030;00:43:54:180
4.212;0.0050;00:43:54:181
4.188;0.0730;00:43:54:182
4.196;0.0750;00:43:54:183
4.212;0.0420;00:43:54:184
4.180;0.0440;00:43:54:185
4.196;0.0730;00:43:54:186
4.196;0.0750;00:43:54:187
4.188;0.0440;00:43:54:188
4.196;0.0750;00:43:54:189
4.188;0.0410;00:43:54:190
4.204;0.0750;00:43:54:191
4.196;0.0760;00:43:54:192
4.188;0.0750;00:43:54:193
4.212;0.0410;00:43:54:194
4.196;0.0740;00:43:54:195
4.196;0.0750;00:43:54:196
4.212;0.0750;00:43:54:197
4.236;0.0430;00:43:54:198
4.172;0.0730;00:43:54:199
4.196;0.0750;00:43:54:200
4.228;0.0750;00:43:54:201
4.196;0.0970;00:43:54:202
4.196;0.0410;00:43:54:203
4.196;0.0740;00:43:54:204
4.196;0.0740;00:43:54:205
4.196;0.0750;00:43:54:206
4.196;0.0410;00:43:54:207
4.204;0.0750;00:43:54:208
4.196;0.0740;00:43:54:209
4.196;0.0750;00:43:54:210
4.212;0.0420;00:43:54:211
4.188;0.0740;00:43:54:212
4.196;0.0720;00:43:54:213
4.196;0.0750;00:43:54:214
4.188;0.0440;00:43:54:215
4.204;0.0730;00:43:54:216
4.196;0.0410;00:43:54:217
4.204;0.0750;00:43:54:218
4.196;0.0750;00:43:54:219
4.188;0.0410;00:43:54:220
4.204;0.0740;00:43:54:221
4.188;0.0740;00:43:54:222
4.196;0.0750;00:43:54:223
4.212;0.0410;00:43:54:224
4.196;0.0740;00:43:54:225
4.180;0.0730;00:43:54:226
4.196;0.0750;00:43:54:227
4.236;0.0440;00:43:54:228
4.180;0.0740;00:43:54:229
4.196;0.0410;00:43:54:230
4.204;0.0750;00:43:54:231
4.196;0.0970;00:43:54:232
4.196;0.0410;00:43:54:233
4.196;0.0410;00:43:54:234
4.204;0.0740;00:43:54:235
4.196;0.0750;00:43:54:236
4.196;0.0410;00:43:54:237
4.204;0.0420;00:43:54:238
4.196;0.0740;00:43:54:239
4.196;0.0750;00:43:54:240
4.212;0.0420;00:43:54:241
4.180;0.0450;00:43:54:242
4.204;0.0720;00:43:54:243
4.196;0.0750;00:43:54:244
4.188;0.0420;00:43:54:245
4.196;0.0750;00:43:54:246
4.188;0.0390;00:43:54:247
4.204;0.0750;00:43:54:248
4.196;0.0750;00:43:54:249
4.196;0.0750;00:43:54:250
4.220;0.0390;00:43:54:251
4.188;0.0740;00:43:54:252
4.196;0.0750;00:43:54:253
4.196;0.0750;00:43:54:254
4.228;0.0410;00:43:54:255
4.172;0.0730;00:43:54:256
4.196;0.0750;00:43:54:257
4.196;0.0740;00:43:54:258
4.196;0.0970;00:43:54:259
4.196;0.0390;00:43:54:260
4.196;0.0750;00:43:54:261
4.196;0.0740;00:43:54:262
4.196;0.0750;00:43:54:263
4.196;0.0390;00:43:54:264
4.204;0.0740;00:43:54:265
4.196;0.0740;00:43:54:266
4.196;0.0750;00:43:54:267
4.212;0.0410;00:43:54:268
4.188;0.0740;00:43:54:269
4.204;0.0710;00:43:54:270
4.196;0.0750;00:43:54:271
4.188;0.0420;00:43:54:272
4.204;0.0730;00:43:54:273
4.196;0.0390;00:43:54:274
4.204;0.0750;00:43:54:275
4.196;0.0750;00:43:54:276
4.188;0.0390;00:43:54:277
4.220;0.0400;00:43:54:278
4.188;0.0740;00:43:54:279
4.196;0.0750;00:43:54:280
4.212;0.0390;00:43:54:281
4.196;0.0410;00:43:54:282
4.172;0.0730;00:43:54:283
4.196;0.0750;00:43:54:284
4.236;0.0410;00:43:54:285
