#Device;NGC103
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.005-02.430-03.730
#Serial No.;000100954
 #Mode;Unlimited
#Logging Interval[s];0.001
#Specified Logging Count;-----
#Specified Logging Time[s];-----
 #Sequence;Off
 #CH1 Voltage Target[V];4.200
#CH1 Current Target[A];0.200
#CH1 Sequence Delay[s];-----
#CH1 EasyArb;Off
#CH1 OVP;Off
#CH1 OPP;Off
#CH1 Ramp;Off
#CH1 Analog in;Off
 #Start Time;00:43:54
#Stop Time;00:44:23
 #Actual Count; 29911      
 U1[V];I1[A];Timestamp
4.228;0.0030;00:44:03:109
4.188;0.0740;00:44:03:110
4.196;0.0700;00:44:03:111
4.188;0.0740;00:44:03:112
4.269;0.0060;00:44:03:113
4.148;0.0700;00:44:03:114
4.188;0.0020;00:44:03:115
4.196;0.0740;00:44:03:116
4.196;0.0970;00:44:03:117
4.196;0.0020;00:44:03:118
4.196;0.0030;00:44:03:119
4.204;0.0740;00:44:03:120
4.196;0.0740;00:44:03:121
4.188;0.0030;00:44:03:122
4.204;0.0740;00:44:03:123
4.188;0.0720;00:44:03:124
4.196;0.0740;00:44:03:125
4.220;0.0040;00:44:03:126
4.180;0.0730;00:44:03:127
4.204;0.0700;00:44:03:128
4.188;0.0740;00:44:03:129
4.188;0.0080;00:44:03:130
4.212;0.0700;00:44:03:131
4.188;0.0020;00:44:03:132
4.204;0.0740;00:44:03:133
4.196;0.0860;00:44:03:134
4.188;0.0020;00:44:03:135
4.228;0.0030;00:44:03:136
4.188;0.0740;00:44:03:137
4.196;0.0740;00:44:03:138
4.212;0.0030;00:44:03:139
4.269;0.0060;00:44:03:140
4.148;0.0700;00:44:03:141
4.188;0.0740;00:44:03:142
4.244;0.0050;00:44:03:143
4.196;0.0970;00:44:03:144
4.196;0.0020;00:44:03:145
4.196;0.0740;00:44:03:146
4.196;0.0970;00:44:03:147
4.196;0.0740;00:44:03:148
4.188;0.0030;00:44:03:149
4.204;0.0740;00:44:03:150
4.196;0.0740;00:44:03:151
4.196;0.0740;00:44:03:152
4.220;0.0040;00:44:03:153
4.180;0.0730;00:44:03:154
4.196;0.0740;00:44:03:155
4.196;0.0740;00:44:03:156
4.188;0.0080;00:44:03:157
4.212;0.0700;00:44:03:158
4.188;0.0740;00:44:03:159
4.204;0.0740;00:44:03:160
4.196;0.0800;00:44:03:161
4.188;0.0030;00:44:03:162
4.204;0.0030;00:44:03:163
4.188;0.0740;00:44:03:164
4.196;0.0740;00:44:03:165
4.220;0.0030;00:44:03:166
4.188;0.0740;00:44:03:167
4.180;0.0730;00:44:03:168
4.196;0.0740;00:44:03:169
4.220;0.0430;00:44:03:170
4.188;0.0730;00:44:03:171
4.196;0.0410;00:44:03:172
4.196;0.0740;00:44:03:173
4.196;0.0970;00:44:03:174
4.196;0.0410;00:44:03:175
4.196;0.0410;00:44:03:176
4.204;0.0740;00:44:03:177
4.196;0.0740;00:44:03:178
4.196;0.0410;00:44:03:179
4.212;0.0420;00:44:03:180
4.188;0.0740;00:44:03:181
4.196;0.0740;00:44:03:182
4.220;0.0410;00:44:03:183
4.188;0.0440;00:44:03:184
4.204;0.0730;00:44:03:185
4.196;0.0740;00:44:03:186
4.188;0.0430;00:44:03:187
4.204;0.0820;00:44:03:188
4.196;0.0410;00:44:03:189
4.204;0.0740;00:44:03:190
4.196;0.0970;00:44:03:191
4.196;0.0740;00:44:03:192
4.212;0.0410;00:44:03:193
4.196;0.0740;00:44:03:194
4.196;0.0740;00:44:03:195
4.204;0.0740;00:44:03:196
4.220;0.0430;00:44:03:197
4.188;0.0730;00:44:03:198
4.196;0.0740;00:44:03:199
4.204;0.0740;00:44:03:200
4.196;0.0970;00:44:03:201
4.196;0.0410;00:44:03:202
4.196;0.0740;00:44:03:203
4.180;0.0740;00:44:03:204
4.196;0.0740;00:44:03:205
4.196;0.0410;00:44:03:206
4.204;0.0740;00:44:03:207
4.196;0.0740;00:44:03:208
4.196;0.0740;00:44:03:209
4.220;0.0410;00:44:03:210
4.188;0.0740;00:44:03:211
4.196;0.0750;00:44:03:212
4.196;0.0740;00:44:03:213
4.188;0.0430;00:44:03:214
4.204;0.0730;00:44:03:215
4.196;0.0740;00:44:03:216
4.204;0.0740;00:44:03:217
4.196;0.0970;00:44:03:218
4.196;0.0410;00:44:03:219
4.196;0.0740;00:44:03:220
4.196;0.0740;00:44:03:221
4.196;0.0740;00:44:03:222
4.204;0.0410;00:44:03:223
4.204;0.0740;00:44:03:224
4.196;0.0730;00:44:03:225
4.196;0.0740;00:44:03:226
4.204;0.0420;00:44:03:227
4.196;0.0740;00:44:03:228
4.196;0.0500;00:44:03:229
4.196;0.0740;00:44:03:230
4.180;0.0440;00:44:03:231
4.196;0.0720;00:44:03:232
4.196;0.0390;00:44:03:233
4.204;0.0740;00:44:03:234
4.196;0.0750;00:44:03:235
4.188;0.0390;00:44:03:236
4.220;0.0400;00:44:03:237
4.188;0.0740;00:44:03:238
4.196;0.0740;00:44:03:239
4.220;0.0390;00:44:03:240
4.188;0.0410;00:44:03:241
4.204;0.0730;00:44:03:242
4.196;0.0740;00:44:03:243
4.228;0.0410;00:44:03:244
4.196;0.0970;00:44:03:245
4.196;0.0390;00:44:03:246
4.196;0.0740;00:44:03:247
4.196;0.0970;00:44:03:248
4.196;0.0740;00:44:03:249
4.204;0.0390;00:44:03:250
4.196;0.0740;00:44:03:251
4.196;0.0740;00:44:03:252
4.196;0.0740;00:44:03:253
4.212;0.0410;00:44:03:254
4.196;0.0740;00:44:03:255
4.196;0.0740;00:44:03:256
4.196;0.0740;00:44:03:257
4.172;0.0470;00:44:03:258
4.196;0.0710;00:44:03:259
4.196;0.0740;00:44:03:260
4.204;0.0740;00:44:03:261
4.196;0.0740;00:44:03:262
4.196;0.0390;00:44:03:263
4.204;0.0740;00:44:03:264
4.188;0.0740;00:44:03:265
4.196;0.0750;00:44:03:266
4.220;0.0400;00:44:03:267
4.188;0.0740;00:44:03:268
4.204;0.0730;00:44:03:269
4.196;0.0740;00:44:03:270
4.220;0.0410;00:44:03:271
4.172;0.0730;00:44:03:272
4.196;0.0730;00:44:03:273
4.204;0.0740;00:44:03:274
4.196;0.0970;00:44:03:275
4.196;0.0390;00:44:03:276
4.196;0.0390;00:44:03:277
4.204;0.0740;00:44:03:278
4.196;0.0740;00:44:03:279
4.196;0.0390;00:44:03:280
4.204;0.0410;00:44:03:281
4.196;0.0740;00:44:03:282
4.196;0.0740;00:44:03:283
4.212;0.0410;00:44:03:284
4.196;0.0540;00:44:03:285
4.204;0.0700;00:44:03:286
4.196;0.0740;00:44:03:287
4.180;0.0080;00:44:03:288
4.204;0.0740;00:44:03:289
4.188;0.0030;00:44:03:290
4.204;0.0740;00:44:03:291
4.196;0.0740;00:44:03:292
4.188;0.0740;00:44:03:293
4.236;0.0040;00:44:03:294
4.180;0.0730;00:44:03:295
4.196;0.0740;00:44:03:296
4.228;0.0740;00:44:03:297
4.196;0.0070;00:44:03:298
4.172;0.0700;00:44:03:299
4.188;0.0740;00:44:03:300
4.269;0.0740;00:44:03:301
4.196;0.0970;00:44:03:302
4.196;0.0020;00:44:03:303
4.196;0.0740;00:44:03:304
4.196;0.0970;00:44:03:305
4.196;0.0740;00:44:03:306
4.196;0.0030;00:44:03:307
4.196;0.0740;00:44:03:308
4.196;0.0740;00:44:03:309
4.188;0.0740;00:44:03:310
4.212;0.0050;00:44:03:311
4.188;0.0720;00:44:03:312
4.188;0.0740;00:44:03:313
4.196;0.0740;00:44:03:314
4.180;0.0090;00:44:03:315
4.204;0.0690;00:44:03:316
4.196;0.0740;00:44:03:317
4.204;0.0740;00:44:03:318
4.196;0.0740;00:44:03:319
4.188;0.0030;00:44:03:320
4.204;0.0740;00:44:03:321
4.180;0.0730;00:44:03:322
4.196;0.0740;00:44:03:323
4.228;0.0030;00:44:03:324
4.180;0.0730;00:44:03:325
4.196;0.0700;00:44:03:326
4.188;0.0740;00:44:03:327
4.261;0.0070;00:44:03:328
4.140;0.0700;00:44:03:329
4.196;0.0020;00:44:03:330
4.204;0.0740;00:44:03:331
4.196;0.0970;00:44:03:332
4.196;0.0020;00:44:03:333
4.204;0.0030;00:44:03:334
4.196;0.0740;00:44:03:335
4.196;0.0740;00:44:03:336
4.196;0.0030;00:44:03:337
4.212;0.0050;00:44:03:338
4.188;0.0720;00:44:03:339
4.188;0.0740;00:44:03:340
4.220;0.0050;00:44:03:341
4.172;0.0110;00:44:03:342
4.204;0.0680;00:44:03:343
4.196;0.0740;00:44:03:344
4.180;0.0080;00:44:03:345
4.196;0.0740;00:44:03:346
4.188;0.0030;00:44:03:347
4.204;0.0740;00:44:03:348
4.196;0.0740;00:44:03:349
4.196;0.0740;00:44:03:350
4.220;0.0410;00:44:03:351
4.188;0.0740;00:44:03:352
4.196;0.0740;00:44:03:353
4.196;0.0740;00:44:03:354
4.228;0.0430;00:44:03:355
4.180;0.0730;00:44:03:356
4.196;0.0740;00:44:03:357
4.204;0.0740;00:44:03:358
4.196;0.0970;00:44:03:359
4.196;0.0410;00:44:03:360
4.204;0.0740;00:44:03:361
4.196;0.0740;00:44:03:362
4.196;0.0750;00:44:03:363
4.196;0.0410;00:44:03:364
4.204;0.0740;00:44:03:365
4.196;0.0740;00:44:03:366
4.196;0.0740;00:44:03:367
4.212;0.0420;00:44:03:368
4.196;0.0740;00:44:03:369
4.196;0.0700;00:44:03:370
4.196;0.0740;00:44:03:371
4.180;0.0440;00:44:03:372
4.204;0.0730;00:44:03:373
4.196;0.0410;00:44:03:374
4.204;0.0740;00:44:03:375
4.196;0.0740;00:44:03:376
4.196;0.0410;00:44:03:377
4.204;0.0410;00:44:03:378
4.188;0.0740;00:44:03:379
4.196;0.0740;00:44:03:380
4.212;0.0410;00:44:03:381
4.196;0.0430;00:44:03:382
4.188;0.0730;00:44:03:383
4.196;0.0740;00:44:03:384
4.236;0.0430;00:44:03:385
4.172;0.0970;00:44:03:386
4.196;0.0410;00:44:03:387
4.196;0.0740;00:44:03:388
4.196;0.0970;00:44:03:389
4.196;0.0740;00:44:03:390
4.204;0.0410;00:44:03:391
4.204;0.0740;00:44:03:392
4.196;0.0740;00:44:03:393
4.196;0.0410;00:44:03:394
4.204;0.0420;00:44:03:395
4.196;0.0740;00:44:03:396
4.196;0.0740;00:44:03:397
4.212;0.0420;00:44:03:398
4.180;0.0440;00:44:03:399
4.204;0.0720;00:44:03:400
4.196;0.0740;00:44:03:401
4.188;0.0440;00:44:03:402
4.196;0.0740;00:44:03:403
4.188;0.0410;00:44:03:404
4.204;0.0740;00:44:03:405
4.196;0.0750;00:44:03:406
4.196;0.0740;00:44:03:407
4.220;0.0400;00:44:03:408
4.196;0.0740;00:44:03:409
4.196;0.0740;00:44:03:410
4.196;0.0740;00:44:03:411
4.236;0.0410;00:44:03:412
4.172;0.0730;00:44:03:413
4.196;0.0740;00:44:03:414
4.196;0.0740;00:44:03:415
4.196;0.0970;00:44:03:416
4.196;0.0390;00:44:03:417
4.196;0.0740;00:44:03:418
4.196;0.0740;00:44:03:419
4.196;0.0740;00:44:03:420
4.196;0.0390;00:44:03:421
4.204;0.0740;00:44:03:422
4.196;0.0740;00:44:03:423
4.196;0.0740;00:44:03:424
4.212;0.0400;00:44:03:425
4.188;0.0740;00:44:03:426
4.204;0.0720;00:44:03:427
4.196;0.0740;00:44:03:428
4.188;0.0420;00:44:03:429
4.204;0.0720;00:44:03:430
4.188;0.0390;00:44:03:431
4.204;0.0740;00:44:03:432
4.196;0.0740;00:44:03:433
4.188;0.0390;00:44:03:434
4.220;0.0390;00:44:03:435
4.188;0.0740;00:44:03:436
4.196;0.0740;00:44:03:437
4.212;0.0390;00:44:03:438
4.228;0.0410;00:44:03:439
4.172;0.0730;00:44:03:440
4.196;0.0740;00:44:03:441
4.236;0.0410;00:44:03:442
4.196;0.0970;00:44:03:443
4.196;0.0390;00:44:03:444
4.196;0.0740;00:44:03:445
4.196;0.0970;00:44:03:446
4.196;0.0750;00:44:03:447
4.196;0.0390;00:44:03:448
4.204;0.0740;00:44:03:449
4.196;0.0750;00:44:03:450
4.196;0.0740;00:44:03:451
4.212;0.0400;00:44:03:452
4.196;0.0740;00:44:03:453
4.196;0.0740;00:44:03:454
4.220;0.0740;00:44:03:455
4.180;0.0420;00:44:03:456
4.204;0.0720;00:44:03:457
4.196;0.0740;00:44:03:458
4.188;0.0740;00:44:03:459
4.196;0.0740;00:44:03:460
4.188;0.0390;00:44:03:461
4.204;0.0740;00:44:03:462
4.196;0.0740;00:44:03:463
4.196;0.0740;00:44:03:464
4.212;0.0390;00:44:03:465
4.196;0.0740;00:44:03:466
4.196;0.0730;00:44:03:467
4.188;0.0740;00:44:03:468
4.269;0.0060;00:44:03:469
4.148;0.0700;00:44:03:470
4.188;0.0020;00:44:03:471
4.204;0.0740;00:44:03:472
4.196;0.0970;00:44:03:473
4.196;0.0020;00:44:03:474
4.196;0.0030;00:44:03:475
4.204;0.0740;00:44:03:476
4.196;0.0740;00:44:03:477
4.196;0.0030;00:44:03:478
4.204;0.0050;00:44:03:479
4.188;0.0720;00:44:03:480
4.188;0.0740;00:44:03:481
4.220;0.0040;00:44:03:482
4.180;0.0090;00:44:03:483
4.204;0.0690;00:44:03:484
4.196;0.0740;00:44:03:485
4.188;0.0080;00:44:03:486
4.212;0.0700;00:44:03:487
4.188;0.0030;00:44:03:488
4.204;0.0740;00:44:03:489
4.196;0.0740;00:44:03:490
4.188;0.0030;00:44:03:491
4.228;0.0030;00:44:03:492
4.180;0.0740;00:44:03:493
4.196;0.0740;00:44:03:494
4.220;0.0030;00:44:03:495
4.269;0.0070;00:44:03:496
4.140;0.0700;00:44:03:497
4.188;0.0740;00:44:03:498
4.261;0.0060;00:44:03:499
4.196;0.0970;00:44:03:500
4.196;0.0020;00:44:03:501
4.196;0.0740;00:44:03:502
4.196;0.0970;00:44:03:503
4.196;0.0740;00:44:03:504
4.196;0.0030;00:44:03:505
4.204;0.0740;00:44:03:506
4.196;0.0740;00:44:03:507
4.196;0.0740;00:44:03:508
4.220;0.0040;00:44:03:509
4.180;0.0730;00:44:03:510
4.188;0.0740;00:44:03:511
4.196;0.0740;00:44:03:512
4.188;0.0080;00:44:03:513
4.212;0.0700;00:44:03:514
4.196;0.0740;00:44:03:515
4.204;0.0740;00:44:03:516
4.196;0.0740;00:44:03:517
4.188;0.0020;00:44:03:518
4.204;0.0740;00:44:03:519
4.180;0.0740;00:44:03:520
4.196;0.0740;00:44:03:521
4.220;0.0030;00:44:03:522
4.188;0.0740;00:44:03:523
4.140;0.0700;00:44:03:524
4.188;0.0740;00:44:03:525
4.253;0.0060;00:44:03:526
4.172;0.0710;00:44:03:527
4.196;0.0410;00:44:03:528
4.196;0.0740;00:44:03:529
4.196;0.0970;00:44:03:530
4.196;0.0410;00:44:03:531
4.196;0.0410;00:44:03:532
4.204;0.0740;00:44:03:533
4.196;0.0740;00:44:03:534
4.196;0.0410;00:44:03:535
4.212;0.0420;00:44:03:536
4.196;0.0740;00:44:03:537
4.196;0.0740;00:44:03:538
4.220;0.0410;00:44:03:539
4.180;0.0440;00:44:03:540
4.204;0.0730;00:44:03:541
4.196;0.0740;00:44:03:542
4.188;0.0440;00:44:03:543
4.196;0.0740;00:44:03:544
4.196;0.0410;00:44:03:545
4.204;0.0740;00:44:03:546
4.196;0.0890;00:44:03:547
4.188;0.0740;00:44:03:548
4.212;0.0410;00:44:03:549
4.196;0.0740;00:44:03:550
4.196;0.0740;00:44:03:551
4.212;0.0740;00:44:03:552
4.236;0.0430;00:44:03:553
4.180;0.0730;00:44:03:554
4.196;0.0740;00:44:03:555
4.220;0.0740;00:44:03:556
4.196;0.0970;00:44:03:557
4.196;0.0410;00:44:03:558
4.196;0.0740;00:44:03:559
4.196;0.0740;00:44:03:560
4.196;0.0740;00:44:03:561
4.196;0.0410;00:44:03:562
4.204;0.0740;00:44:03:563
4.196;0.0740;00:44:03:564
4.196;0.0740;00:44:03:565
4.220;0.0410;00:44:03:566
4.188;0.0740;00:44:03:567
4.196;0.0720;00:44:03:568
4.196;0.0740;00:44:03:569
4.188;0.0440;00:44:03:570
4.204;0.0730;00:44:03:571
4.196;0.0410;00:44:03:572
4.204;0.0740;00:44:03:573
4.196;0.0750;00:44:03:574
4.196;0.0410;00:44:03:575
4.204;0.0740;00:44:03:576
4.196;0.0740;00:44:03:577
4.196;0.0740;00:44:03:578
4.212;0.0410;00:44:03:579
4.196;0.0740;00:44:03:580
4.196;0.0740;00:44:03:581
4.196;0.0740;00:44:03:582
4.228;0.0430;00:44:03:583
4.188;0.0730;00:44:03:584
4.196;0.0410;00:44:03:585
4.196;0.0740;00:44:03:586
4.196;0.0970;00:44:03:587
4.196;0.0390;00:44:03:588
4.196;0.0390;00:44:03:589
4.204;0.0740;00:44:03:590
4.196;0.0740;00:44:03:591
4.196;0.0390;00:44:03:592
4.212;0.0400;00:44:03:593
4.188;0.0740;00:44:03:594
4.196;0.0740;00:44:03:595
4.220;0.0400;00:44:03:596
4.188;0.0410;00:44:03:597
4.204;0.0730;00:44:03:598
4.196;0.0740;00:44:03:599
4.188;0.0410;00:44:03:600
4.196;0.0740;00:44:03:601
4.196;0.0390;00:44:03:602
4.204;0.0740;00:44:03:603
4.196;0.0960;00:44:03:604
4.196;0.0740;00:44:03:605
4.212;0.0390;00:44:03:606
4.196;0.0740;00:44:03:607
4.196;0.0740;00:44:03:608
4.196;0.0740;00:44:03:609
4.228;0.0410;00:44:03:610
4.188;0.0730;00:44:03:611
4.196;0.0750;00:44:03:612
4.196;0.0740;00:44:03:613
4.196;0.0970;00:44:03:614
4.196;0.0380;00:44:03:615
4.196;0.0740;00:44:03:616
4.204;0.0740;00:44:03:617
4.196;0.0750;00:44:03:618
4.196;0.0390;00:44:03:619
4.204;0.0740;00:44:03:620
4.188;0.0740;00:44:03:621
4.196;0.0740;00:44:03:622
4.220;0.0400;00:44:03:623
4.188;0.0740;00:44:03:624
4.204;0.0730;00:44:03:625
4.196;0.0740;00:44:03:626
4.188;0.0410;00:44:03:627
4.204;0.0720;00:44:03:628
4.196;0.0390;00:44:03:629
4.204;0.0740;00:44:03:630
4.196;0.0950;00:44:03:631
4.196;0.0390;00:44:03:632
4.212;0.0390;00:44:03:633
4.196;0.0740;00:44:03:634
4.196;0.0740;00:44:03:635
4.204;0.0390;00:44:03:636
4.196;0.0410;00:44:03:637
4.180;0.0730;00:44:03:638
4.196;0.0740;00:44:03:639
4.220;0.0410;00:44:03:640
4.188;0.0970;00:44:03:641
4.196;0.0390;00:44:03:642
4.196;0.0740;00:44:03:643
4.196;0.0970;00:44:03:644
4.196;0.0740;00:44:03:645
4.196;0.0390;00:44:03:646
4.204;0.0740;00:44:03:647
4.196;0.0740;00:44:03:648
4.188;0.0740;00:44:03:649
4.220;0.0040;00:44:03:650
4.180;0.0720;00:44:03:651
4.196;0.0740;00:44:03:652
4.228;0.0740;00:44:03:653
4.188;0.0080;00:44:03:654
4.212;0.0700;00:44:03:655
4.188;0.0740;00:44:03:656
4.188;0.0740;00:44:03:657
4.196;0.0740;00:44:03:658
4.188;0.0020;00:44:03:659
4.204;0.0740;00:44:03:660
4.196;0.0730;00:44:03:661
4.196;0.0740;00:44:03:662
4.220;0.0030;00:44:03:663
4.188;0.0740;00:44:03:664
4.196;0.0700;00:44:03:665
4.188;0.0740;00:44:03:666
4.261;0.0060;00:44:03:667
4.164;0.0710;00:44:03:668
4.188;0.0740;00:44:03:669
4.196;0.0740;00:44:03:670
4.196;0.0970;00:44:03:671
4.204;0.0020;00:44:03:672
4.196;0.0740;00:44:03:673
4.204;0.0740;00:44:03:674
4.196;0.0740;00:44:03:675
4.188;0.0030;00:44:03:676
4.204;0.0740;00:44:03:677
4.180;0.0730;00:44:03:678
4.188;0.0740;00:44:03:679
4.228;0.0040;00:44:03:680
4.180;0.0730;00:44:03:681
4.212;0.0700;00:44:03:682
4.188;0.0740;00:44:03:683
4.188;0.0070;00:44:03:684
4.212;0.0700;00:44:03:685
4.188;0.0020;00:44:03:686
4.204;0.0740;00:44:03:687
4.196;0.0960;00:44:03:688
4.196;0.0020;00:44:03:689
4.220;0.0030;00:44:03:690
4.188;0.0030;00:44:03:691
4.196;0.0740;00:44:03:692
4.212;0.0030;00:44:03:693
4.253;0.0060;00:44:03:694
4.172;0.0710;00:44:03:695
4.188;0.0740;00:44:03:696
4.228;0.0050;00:44:03:697
4.196;0.0970;00:44:03:698
4.204;0.0020;00:44:03:699
4.196;0.0740;00:44:03:700
4.180;0.0560;00:44:03:701
4.196;0.0740;00:44:03:702
4.188;0.0030;00:44:03:703
4.204;0.0740;00:44:03:704
4.196;0.0740;00:44:03:705
4.188;0.0740;00:44:03:706
4.188;0.0410;00:44:03:707
4.188;0.0740;00:44:03:708
4.196;0.0740;00:44:03:709
4.196;0.0740;00:44:03:710
4.188;0.0440;00:44:03:711
4.204;0.0730;00:44:03:712
4.196;0.0740;00:44:03:713
4.204;0.0740;00:44:03:714
4.196;0.0960;00:44:03:715
4.196;0.0410;00:44:03:716
4.204;0.0740;00:44:03:717
4.196;0.0740;00:44:03:718
4.196;0.0740;00:44:03:719
4.204;0.0410;00:44:03:720
4.196;0.0740;00:44:03:721
4.188;0.0730;00:44:03:722
4.196;0.0740;00:44:03:723
4.212;0.0420;00:44:03:724
4.196;0.0740;00:44:03:725
4.196;0.0410;00:44:03:726
4.196;0.0740;00:44:03:727
4.180;0.0870;00:44:03:728
4.196;0.0660;00:44:03:729
4.196;0.0410;00:44:03:730
4.204;0.0740;00:44:03:731
4.196;0.0750;00:44:03:732
4.196;0.0410;00:44:03:733
4.204;0.0410;00:44:03:734
4.188;0.0740;00:44:03:735
4.196;0.0740;00:44:03:736
4.220;0.0410;00:44:03:737
4.188;0.0440;00:44:03:738
4.204;0.0730;00:44:03:739
4.196;0.0740;00:44:03:740
4.188;0.0430;00:44:03:741
4.196;0.0950;00:44:03:742
4.196;0.0410;00:44:03:743
4.204;0.0740;00:44:03:744
4.196;0.0970;00:44:03:745
4.196;0.0740;00:44:03:746
4.204;0.0410;00:44:03:747
4.196;0.0740;00:44:03:748
4.196;0.0740;00:44:03:749
4.204;0.0740;00:44:03:750
4.212;0.0420;00:44:03:751
4.196;0.0740;00:44:03:752
4.196;0.0740;00:44:03:753
4.204;0.0740;00:44:03:754
4.188;0.0970;00:44:03:755
4.196;0.0580;00:44:03:756
4.196;0.0740;00:44:03:757
4.180;0.0460;00:44:03:758
4.196;0.0740;00:44:03:759
4.196;0.0410;00:44:03:760
4.204;0.0740;00:44:03:761
4.196;0.0740;00:44:03:762
4.196;0.0740;00:44:03:763
4.220;0.0410;00:44:03:764
4.188;0.0740;00:44:03:765
4.196;0.0740;00:44:03:766
4.196;0.0740;00:44:03:767
4.188;0.0410;00:44:03:768
4.204;0.0730;00:44:03:769
4.196;0.0740;00:44:03:770
4.196;0.0740;00:44:03:771
4.196;0.0970;00:44:03:772
4.196;0.0390;00:44:03:773
4.204;0.0740;00:44:03:774
4.196;0.0740;00:44:03:775
4.196;0.0750;00:44:03:776
4.204;0.0390;00:44:03:777
4.204;0.0740;00:44:03:778
4.196;0.0730;00:44:03:779
4.196;0.0740;00:44:03:780
4.212;0.0410;00:44:03:781
4.196;0.0740;00:44:03:782
4.196;0.0430;00:44:03:783
4.196;0.0740;00:44:03:784
4.180;0.0460;00:44:03:785
4.204;0.0710;00:44:03:786
4.196;0.0390;00:44:03:787
4.204;0.0740;00:44:03:788
4.196;0.0750;00:44:03:789
4.196;0.0390;00:44:03:790
4.220;0.0400;00:44:03:791
4.188;0.0740;00:44:03:792
4.196;0.0750;00:44:03:793
4.220;0.0390;00:44:03:794
4.188;0.0410;00:44:03:795
4.204;0.0720;00:44:03:796
4.196;0.0740;00:44:03:797
4.220;0.0410;00:44:03:798
4.196;0.0970;00:44:03:799
4.188;0.0390;00:44:03:800
4.196;0.0740;00:44:03:801
4.196;0.0970;00:44:03:802
4.196;0.0740;00:44:03:803
4.204;0.0390;00:44:03:804
4.196;0.0740;00:44:03:805
4.196;0.0740;00:44:03:806
4.196;0.0740;00:44:03:807
4.212;0.0410;00:44:03:808
4.196;0.0740;00:44:03:809
4.196;0.0740;00:44:03:810
4.196;0.0740;00:44:03:811
4.172;0.0470;00:44:03:812
4.204;0.0710;00:44:03:813
4.196;0.0740;00:44:03:814
4.204;0.0740;00:44:03:815
4.196;0.0750;00:44:03:816
4.196;0.0390;00:44:03:817
4.204;0.0740;00:44:03:818
4.196;0.0740;00:44:03:819
4.196;0.0740;00:44:03:820
4.220;0.0400;00:44:03:821
4.188;0.0740;00:44:03:822
4.196;0.0720;00:44:03:823
4.196;0.0740;00:44:03:824
4.212;0.0410;00:44:03:825
4.180;0.0730;00:44:03:826
4.188;0.0030;00:44:03:827
4.204;0.0740;00:44:03:828
4.196;0.0970;00:44:03:829
4.196;0.0020;00:44:03:830
4.204;0.0030;00:44:03:831
4.196;0.0740;00:44:03:832
4.196;0.0740;00:44:03:833
4.196;0.0030;00:44:03:834
4.204;0.0050;00:44:03:835
4.196;0.0720;00:44:03:836
4.188;0.0740;00:44:03:837
4.212;0.0050;00:44:03:838
4.188;0.0180;00:44:03:839
4.204;0.0670;00:44:03:840
4.196;0.0740;00:44:03:841
4.180;0.0080;00:44:03:842
4.204;0.0740;00:44:03:843
4.188;0.0020;00:44:03:844
4.204;0.0740;00:44:03:845
4.196;0.0740;00:44:03:846
4.188;0.0740;00:44:03:847
4.228;0.0030;00:44:03:848
4.180;0.0730;00:44:03:849
4.196;0.0740;00:44:03:850
4.228;0.0030;00:44:03:851
4.253;0.0070;00:44:03:852
4.148;0.0700;00:44:03:853
4.188;0.0740;00:44:03:854
4.269;0.0060;00:44:03:855
4.196;0.0970;00:44:03:856
4.196;0.0020;00:44:03:857
4.196;0.0740;00:44:03:858
4.196;0.0970;00:44:03:859
4.196;0.0740;00:44:03:860
4.196;0.0030;00:44:03:861
4.204;0.0740;00:44:03:862
4.196;0.0740;00:44:03:863
4.188;0.0740;00:44:03:864
4.220;0.0050;00:44:03:865
4.180;0.0720;00:44:03:866
4.196;0.0740;00:44:03:867
4.196;0.0740;00:44:03:868
4.188;0.0080;00:44:03:869
4.212;0.0700;00:44:03:870
4.188;0.0740;00:44:03:871
4.204;0.0740;00:44:03:872
4.196;0.0740;00:44:03:873
4.188;0.0020;00:44:03:874
4.204;0.0740;00:44:03:875
4.180;0.0740;00:44:03:876
4.196;0.0740;00:44:03:877
4.220;0.0030;00:44:03:878
4.188;0.0740;00:44:03:879
4.140;0.0700;00:44:03:880
4.188;0.0740;00:44:03:881
4.253;0.0060;00:44:03:882
4.172;0.0700;00:44:03:883
4.196;0.0020;00:44:03:884
4.196;0.0740;00:44:03:885
4.196;0.0970;00:44:03:886
4.204;0.0410;00:44:03:887
4.196;0.0410;00:44:03:888
4.196;0.0740;00:44:03:889
4.196;0.0740;00:44:03:890
4.196;0.0410;00:44:03:891
4.212;0.0410;00:44:03:892
4.188;0.0740;00:44:03:893
4.196;0.0740;00:44:03:894
4.220;0.0410;00:44:03:895
4.188;0.0440;00:44:03:896
4.204;0.0730;00:44:03:897
4.196;0.0740;00:44:03:898
4.188;0.0430;00:44:03:899
4.196;0.0770;00:44:03:900
4.188;0.0410;00:44:03:901
4.204;0.0740;00:44:03:902
4.196;0.0970;00:44:03:903
4.196;0.0740;00:44:03:904
4.212;0.0410;00:44:03:905
4.196;0.0740;00:44:03:906
4.196;0.0740;00:44:03:907
4.196;0.0740;00:44:03:908
4.220;0.0430;00:44:03:909
4.188;0.0730;00:44:03:910
4.196;0.0740;00:44:03:911
4.204;0.0740;00:44:03:912
4.196;0.0970;00:44:03:913
